Intreville: 214.936848; 5360.968443!
Sournac: 263.221071; 4993.190256!
Lestour: 137.788407; 4949.234589!
Berthenonville: 184.348356; 5459.323323!
Les Aroncis: 690.050037; 4945.05!
Etchebar: -99.127662; 4782.162495!
Sarreguemines: 785.034957; 5451.607269!
Breandes: 393.507432; 5308.774245!
Le Vilhain: 310.49364; 5168.350698!
Aubencheul-aux-Bois: 362.660754; 5553.144297!
Segransan: -35.150037; 4982.049963!
Thuir: 305.772921; 4732.252233!
Chez Fauroux: 377.411877; 5085.296169!
Kerhamon: -333.320457; 5384.783049!
Chauffours: 149.450178; 5371.879521!
Les Bosses: 662.535024; 4993.256745!
Les Mathes: -128.202114; 5074.243344!
Mours-Saint-Eusebe: 561.385164; 5002.580745!
Westhalten: 805.750998; 5323.249422!
Pommereuil: 399.197514; 5562.462636!
Puyjourdes: 206.552907; 4929.220068!
Banneville-la-Campagne: -25.011408; 5458.090002!
Saint-Etienne-Vallee-Francaise: 426.479538; 4902.47817!
La Goupiliere: 28.946691; 5391.314067!
Caen: -36.277242; 5460.887868!
Les Carrys: 572.887761; 5110.347426!
Tregornan: -378.300432; 5347.190013!
Neurey-les-la-Demie: 687.516573; 5281.016586!
Fouvent-le-Haut: 629.310282; 5288.413293!
Kerriou: -403.050324; 5329.646685!
Treville: 216.782556; 4815.716019!
Viabon: 189.266322; 5352.055809!
Saint-Gilles-de-Cretot: 71.520075; 5500.964307!
Le Mesnil-Fuguet: 122.712387; 5446.706286!
Bernolsheim: 853.586115; 5411.856948!
Tirepied: -140.33397; 5406.800232!
Miery: 629.836755; 5196.156087!
Cattelet: 356.093439; 5596.565388!
Miers: 189.612309; 4978.734615!
Damvix: -81.461679; 5140.995747!
Schillersdorf: 835.232376; 5424.690213!
Les Taillades: 550.613613; 4877.132541!
Les Baineries Basse: -115.33344; 5343.577851!
Sacy: 424.086045; 5291.009361!
Lamballe: -279.094071; 5379.905487!
Beaucorroy: 200.845065; 5619.127581!
Puits-la-Vallee: 243.44187; 5503.643514!
Sinderes: -109.308471; 4887.118878!
La Gadroue: 227.013093; 5335.980678!
Saint-Hilaire-au-Temple: 486.779733; 5445.169158!
Hyenville: -163.030917; 5438.307471!
Theuville: 18.817608; 5513.981166!
Chaserey-Bas: 451.289703; 5323.240542!
Blaignan: -94.944516; 5030.341623!
Crugey: 519.849963; 5237.349963!
Seyssinet: 631.186182; 5013.584064!
Inaumont: 478.832799; 5500.886829!
Candes-Saint-Martin: 8.185362; 5240.493483!
Bucey-en-Othe: 429.525045; 5356.626123!
Blaignac: -6.214779; 4945.369347!
Campome: 263.623002; 4734.122916!
Messei-Saint-Gervais: -59.260236; 5406.975612!
Les Gros Gres: 50.16312; 5493.048342!
La Frasnee: 644.999355; 5167.664718!
Chateaugay: 342.958476; 5089.49874!
Les Miaux: 621.530514; 4953.040224!
Creys-et-Pusigneu: 609.26901; 5075.854398!
Treves-Cunault: -20.488269; 5252.595702!
Cruguel: -288.072417; 5314.470987!
Kernilis: -490.398; 5391.353028!
Rochefort-sur-la-Cote: 577.598268; 5352.504138!
Limousis: 266.578932; 4810.135161!
Puilacher: 389.281773; 4835.836545!
Bleville: 254.838129; 5358.579501!
Mayronnes: 280.30719; 4779.099339!
Biniville: -164.095296; 5486.466264!
Pointis-de-Riviere: 68.432499; 4782.70473!
Noutari: 190.500642; 4983.302154!
Merona: 625.598886; 5167.573476!
Mohon: 524.849736; 5522.225358!
Chandolas: 472.120185; 4928.769186!
Plenise: 669.295479; 5195.478765!
Sottevast: -176.677923; 5497.134696!
La Bourse: 144.654201; 5388.214503!
Manigod: 706.957335; 5090.474541!
Le Vigean: 262.700037; 5020.899963!
Le Vaulmier: 284.900037; 5017.2!
